RFC del Vendedor;Nombre;Apaterno;Amaterno;Correo electronico;Genero del Vendedor;Telefono;Anio_Nacimiento
MAPD000211;David    ;Marin    ;Prieto   ;lmcz@hotmail.com ;Mujer    ;5552924400     ;1980
MAPD000212;Maria    ;Jose     ;Garrido  ;sves@gmail.com   ;Hombre   ;9981932800     ;1980
MAPD000213;Ana      ;Paola    ;Lopez    ;smeb@hotmail.com ;True     ;2222987777     ;1980
MAPD000214;Vanessa  ;Garcia   ;Cabrera  ;mleh@yahoo.com   ;Mujer    ;9981932800     ;1980
MAPD000215;Arturo   ;Duran    ;Fuentes  ;rbix@yahoo.com   ;Hombre   ;4777810603     ;1980
MAPD000216;Maria    ;De       ;Jesus    ;lv10w@hotmail.com;Hombre   ;2296883911     ;1999
MAPD000217;Melissa  ;Pena     ;Sanchez  ;arxf@yahoo.com   ;True     ;9999275577     ;1969
MAPD000218;Jazmin   ;Herrera  ;Santana  ;jgsw@yahoo.com   ;True     ;3336404854     ;1988
MAPD000219;Danna    ;Paola    ;Dominguez;cmwr@yahoo.com   ;Hombre   ;2296883911     ;1980
MAPD000220;Luis     ;Antonio  ;Soto     ;rlci@outlook.com ;Hombre   ;8183638949     ;1980
MAPD000221;Marco    ;Antonio  ;Moya     ;rlci@outlook.com ;Mujer    ;3336404854     ;1950
MAPD000222;Elizabeth;Gallego  ;Marquez  ;egpz@yahoo.com   ;Mujer    ;9999275577     ;1980
MAPD000223;Jose     ;Guadalupe;Santos   ;jphw@hotmail.com ;True     ;2222987777     ;1980
MAPD000224;Ana      ;Paola    ;Lopez    ;jsen@gmail.com   ;Mujer    ;2296883911     ;1985
MAPD000225;Maria    ;Jose     ;Garrido  ;smtg@hotmail.com ;Hombre   ;9981932800     ;1985
MAPD000226;Miriam   ;Montero  ;Blanco   ;sgqo@outlook.com ;True     ;5552802034     ;1963
MAPD000227;Valentina;Parra    ;Castillo ;ecmu@hotmail.com ;Mujer    ;5556620838     ;1980
MAPD000228;Ximena   ;Ferrer   ;Nieto    ;eaud@outlook.com ;True     ;0000000000     ;1980
MAPD000229;Mayte    ;Martinez ;Marquez  ;dmmu@hotmail.com ;Mujer    ;0000000000     ;1980
MAPD000230;Alexander;Fuentes  ;Hernandez;dmmu@hotmail.com ;True     ;0000000000     ;1980
MAPD000231;Sandra   ;Cano     ;Caballero;eltw@gmail.com   ;False    ;0000000000     ;1980
MAPD000232;Jaqueline;Navarro  ;Gallardo ;cm10c@outlook.com;Mujer    ;0000000000     ;1999
MAPD000233;Jose     ;Guadalupe;Santos   ;smkl@outlook.com ;False    ;0000000000     ;1969
MAPD000234;Francisco;Ortega   ;Ferrer   ;arsa@yahoo.com   ;False    ;0000000000     ;1988
MAPD000235;Sandra   ;Gonzalez ;Diez     ;glff@gmail.com   ;Mujer    ;0000000000     ;1980
MAPD000236;Arturo   ;Duran    ;Fuentes  ;db10l@outlook.com;Hombre   ;0000000000     ;1980
MAPD000237;Jose     ;Antonio  ;Leon     ;mrpd@yahoo.com   ;True     ;0000000000     ;1950
MAPD000238;Miriam   ;Montero  ;Blanco   ;rsgk@hotmail.com ;Mujer    ;0000000000     ;1980
MAPD000239;Jose     ;Maria    ;Caballero;rsgk@hotmail.com ;Hombre   ;0000000000     ;1980
MAPD000240;Rodrigo  ;Vega     ;Moreno   ;jmmu@yahoo.com   ;True     ;0000000000     ;1985
MAPD000241;Jaqueline;Navarro  ;Gallardo ;mvji@outlook.com ;Hombre   ;0000000000     ;1985
MAPD000242;Mariana  ;Saez     ;Gimenez  ;enp10@hotmail.com;Hombre   ;0000000000     ;1963
MAPD000243;Ana      ;Maria    ;Rubio    ;jpy10@hotmail.com;True     ;0000000000     ;1980
MAPD000244;Kevin    ;Rodriguez;Arias    ;jpy10@hotmail.com;Mujer    ;0000000000     ;1980
MAPD000245;Paola    ;Moya     ;Garrido  ;gfr10@hotmail.com;Hombre   ;0000000000     ;1980
MAPD000246;Ana      ;Maria    ;Rubio    ;dfth@gmail.com   ;True     ;0000000000     ;1980
