RFC del Vendedor,Nombre,Apaterno,Amaterno,Correo electronico,Genero del Vendedor,Telefono,Anio_Nacimiento
MAPD000211,David,Marin,Prieto,lmcz@hotmail.com,Femenino,5552924400,0
MAPD000212,Maria,jose,Garrido,sves@gmail.com,Masculino,9981932800,20
MAPD000213,Ana,paola,Lopez,smeb@hotmail.com,True,2222987777,1980
MAPD000214,Vanessa,Garcia,Cabrera,mleh@yahoo.com,Mujer,9981932800,1980
MAPD000215,Arturo,Duran,Fuentes,rbix@yahoo.com,Masculino,4777810603,1565
MAPD000216,Maria,de,jesus,lv10w@hotmail.com,Hombre,2296883911,1999
MAPD000217,Melissa,Pena,Sanchez,arxf@yahoo.com,True,9999275577,1969
MAPD000218,Jazmin,Herrera,Santana,jgsw@yahoo.com,True,3336404854,1988
MAPD000219,Danna,paola,Dominguez,cmwr@yahoo.com,Hombre,2296883911,750
MAPD000220,Luis,antonio,Soto,rlci@outlook.com,Hombre,8183638949,800
MAPD000221,Marco,antonio,Moya,rlci@outlook.com,Femenino,3336404854,1950
MAPD000222,Elizabeth,Gallego,Marquez,egpz@yahoo.com,Femenino,9999275577,1980
MAPD000223,Jose,guadalupe,Santos,jphw@hotmail.com,True,2222987777,1856
MAPD000224,Ana,paola,Lopez,jsen@gmail.com,Mujer,2296883911,1985
MAPD000225,Maria,jose,Garrido,smtg@hotmail.com,Masculino,9981932800,1985
MAPD000226,Miriam,Montero,Blanco,sgqo@outlook.com,True,5552802034,1963
MAPD000227,Valentina,Parra,Castillo,ecmu@hotmail.com,Femenino,5556620838,0
MAPD000228,Ximena,Ferrer,Nieto,eaud@outlook.com,True,,20
MAPD000229,Mayte,Martinez,Marquez,dmmu@hotmail.com,Mujer,,1980
MAPD000230,Alexander,Fuentes,Hernandez,dmmu@hotmail.com,True,,1980
MAPD000231,Sandra,Cano,Caballero,eltw@gmail.com,False,,1565
MAPD000232,Jaqueline,Navarro,Gallardo,cm10c@outlook.com,Mujer,,1999
MAPD000233,Jose,guadalupe,Santos,smkl@outlook.com,False,,1969
MAPD000234,Francisco,Ortega,Ferrer,arsa@yahoo.com,False,,1988
MAPD000235,Sandra,Gonzalez,Diez,glff@gmail.com,Mujer,,750
